generated_at	2026-03-26T02:25:51Z
https://www.publico.pt/2021/02/02/ciencia/noticia/pesca-comercial-reduzir-diferenciacao-genetica-peixes-nivel-mundial-1948897	assets/data/corpus.json
https://www.publico.pt/2021/02/19/impar/noticia/68-anos-atras-grades-jovem-condenado-prisao-perpetua-ha-tempo-eua-abraca-liberdade-1951443	assets/data/corpus.json
https://www.publico.pt/2021/04/14/p3/noticia/replay-dar-nova-vida-brinquedos-usados-1958304	assets/data/corpus.json
https://www.publico.pt/2021/04/22/p3/noticia/nigeria-jovens-criam-moda-partir-lixo-combater-poluicao-1959577	assets/data/corpus.json
https://www.publico.pt/2021/04/24/mundo/noticia/familia-norteamericana-acusada-vender-lixivia-tratar-covid19-condenada-prisao-perpetua-1959868	assets/data/corpus.json
https://www.publico.pt/2021/05/03/economia/noticia/vai-futuro-verde-europa-1960853	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2021/05/19/local/noticia/borras-cafe-natan-faz-nascer-tonelada-cogumelos-mes-1963257	assets/data/corpus.json
https://www.publico.pt/2021/07/21/p3/noticia/desperdicio-cerca-40-alimentos-cultivados-nao-sao-consumidos-1971264	assets/data/corpus.json
https://www.publico.pt/2021/08/30/impar/noticia/quer-aprender-compostagem-ha-nova-escola-gratuita-acessivel-1975677	assets/data/corpus.json
https://www.publico.pt/2021/09/05/impar/opiniao/bufetes-escolares-indignados-costume-1976142	assets/data/corpus.json
https://www.publico.pt/2021/09/15/impar/opiniao/longo-caminho-aproximarmos-dieta-planetaria-1977391	assets/data/corpus.json
https://www.publico.pt/2021/10/22/impar/noticia/saber-comer-pequenoalmoco-tres-granolas-portuguesas-sao-boa-opcao-1980814	assets/data/corpus.json
https://www.publico.pt/2021/11/03/mundo/noticia/china-pede-familias-armazenem-alimentos-face-obstaculos-abastecimento-1983455	assets/data/corpus.json
https://www.publico.pt/2021/11/23/fugas/noticia/livros-tv-maria-oliveira-dias-quer-mostrar-comida-vegana-facil-divertida-super-saborosa-1986063	assets/data/corpus.json
https://www.publico.pt/2021/12/22/impar/noticia/movimento-unidos-desperdicio-propoe-receitas-sobras-natal-chefs-1989461	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2021/12/23/impar/noticia/sobreviver-natal-limitar-estragos-1988390	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2021/12/29/p3/noticia/venn-date-precisas-cozinhar-prato-vegan-kit-sustentavel-entregue-casa-1989421	assets/data/corpus.json
https://www.publico.pt/2022/03/04/ciencia/noticia/reciclar-bom-reutilizar-melhor-1996882	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/03/04/culturaipsilon/noticia/artes-lugar-experimentacao-ambiental-1997299	assets/data/corpus.json
https://www.publico.pt/2022/03/09/ciencia/noticia/algas-acores-poderao-alimentar-aquacultura-2024-1998163	assets/data/corpus.json
https://www.publico.pt/2022/04/17/mundo/noticia/missil-atinge-missao-humanitaria-world-central-kitchen-faz-morto-quatro-feridos-2002808	assets/data/corpus.json
https://www.publico.pt/2022/04/22/impar/noticia/preocupado-ambiente-20-dicas-tornar-cozinha-verde-2002916	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/04/27/p3/noticia/futuro-desperdicio-alimentar-comecar-cantina-escola-2002438	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/05/03/azul/fotogaleria/fruta-feia-sao-ja-15-postos-venda-cooperativa-combate-desperdicio-alimentar-407910	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2022/05/14/azul/noticia/duvida-comer-alimentos-fim-prazo-validade-2006133	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/05/16/azul/noticia/produzir-insectos-alimentos-100-aproveitado-2004293	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/06/24/estudiop/noticia/decisao-simples-ajuda-planeta-2010666	assets/data/corpus.json
https://www.publico.pt/2022/06/26/azul/noticia/flatlantic-empresa-produz-pregados-mar-casa-2011411	assets/data/corpus.json
https://www.publico.pt/2022/07/06/azul/noticia/pavilhao-conhecimento-alberga-cidade-sustentavel-inclusiva-partir-sextafeira-2012665	assets/data/corpus.json
https://www.publico.pt/2022/07/27/azul/noticia/familias-podem-enfrentar-crise-climatica-desperdicando-menos-comida-2015140	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2022/08/18/estudiop/noticia/ciencia-tras-melhores-escolhas-alimentares-2012018	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/09/01/fugas/fotogaleria/tomatina-tradicao-espectacular-desperdicio-monumental-408738	assets/data/corpus.json
https://www.publico.pt/2022/09/01/local/noticia/pedidos-apoio-alimentar-algarve-aumentam-final-verao-embate-vira-2019029	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/09/29/p3/noticia/queres-dizer-nao-desperdicio-alimentar-cinco-apps-sites-podem-ajudar-2021983	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2022/10/15/fugas/reportagem/suica-melhor-pais-mundo-vegetarianismo-preparase-revolucao-2023465	assets/data/corpus.json
https://www.publico.pt/2022/10/21/azul/opiniao/aqui-ha-peixe-2024865	assets/data/corpus.json
https://www.publico.pt/2022/10/24/impar/cronica/sintonia-2025153	assets/data/corpus.json
https://www.publico.pt/2022/10/31/impar/noticia/dicas-chef-hotel-cinco-estrelas-poupar-cozinha-casa-2025466	assets/data/corpus.json
https://www.publico.pt/2022/11/27/azul/noticia/restaurantes-estrela-verde-impacto-real-sociedade-2029395	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/11/28/impar/noticia/quanta-agua-beber-dia-novo-estudo-oito-copos-ja-sao-2029447	assets/data/corpus.json
https://www.publico.pt/2022/12/11/azul/opiniao/acelerar-transicao-agroecologica-2030984	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/12/23/azul/noticia/prenda-mae-natureza-cinco-dicas-natal-sustentavel-2032452	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/12/24/azul/noticia/opcao-vegetariana-cantinas-escolares-cinco-anos-lei-realidade-2032140	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2022/12/25/azul/reportagem/reparadores-solidaridos-salvam-electronicos-lixo-daonos-precisa-2032574	assets/data/corpus.json
https://www.publico.pt/2023/01/06/fugas/reportagem/minimeu-ja-nao-mini-abriu-maria-luisa-braga-2032991	assets/data/corpus.json
https://www.publico.pt/2023/02/11/azul/noticia/vou-separar-lixo-pago-20-euros-residuos-mes-2038261	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/02/19/azul/noticia/portugues-deita-184-kg-comida-ano-propoem-mudar-2039370	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2023/02/27/azul/entrevista/portugal-gigante-area-marinha-europa-so-25-proteccao-2040171	assets/data/corpus.json
https://www.publico.pt/2023/03/11/azul/opiniao/sustentabilidade-regeneracao-muda-2041976	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/03/23/p3/reportagem/possivel-boicotar-supermercados-tentam-dias-nao-facil-2042786	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/04/01/opiniao/opiniao/politica-iva-saudavel-sustentavel-apenas-medida-2044594	assets/data/corpus.json
https://www.publico.pt/2023/04/05/estudiop/noticia/importancia-embalagens-assepticas-reducao-desperdicio-alimentar-2043117	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/04/26/azul/noticia/sopa-pesticidas-corpo-vai-dificil-acabar-2047510	assets/data/corpus.json
https://www.publico.pt/2023/04/30/azul/noticia/cozinha-restaurante-europeu-certificado-zero-desperdicio-2047798	assets/data/corpus.json, assets/data/corpus_core.json
